Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	7298
Pass #: 	1323
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
Max	4	16	0	0	80.00	600.00	600.00	100.00	600.00	
Min	1	1	0	0	40.00	100.00	100.00	0.00	100.00	
1	1	5	0	43	11.46	231.66	297.66	1016.22	437.09	
2	1	1	0	44	56.94	228.90	293.28	40.04	431.16	
3	1	1	0	45	72.83	232.15	297.18	12.48	440.32	
4	1	1	0	46	74.03	229.55	296.85	11.73	447.85	
5	1	1	0	47	63.57	227.44	294.42	20.08	455.12	
6	1	1	0	48	72.27	224.36	292.47	14.50	460.17	
7	1	1	0	49	63.60	222.74	289.72	33.22	466.65	
8	1	5	0	50	0.02	164.19	283.88	1016.03	468.91	
9	1	5	0	51	0.02	178.63	284.20	1016.03	477.72	
10	1	1	0	52	59.98	220.14	287.61	94.60	481.85	
11	1	5	0	53	0.02	176.68	284.53	1016.03	489.95	
12	1	5	0	54	0.03	180.57	285.18	1016.03	491.21	
13	1	5	0	55	37.96	222.41	292.47	1016.01	502.04	
14	1	1	0	56	73.52	222.58	291.83	15.52	491.89	
15	1	1	0	57	65.15	223.55	292.96	38.16	482.23	
16	1	1	0	58	72.75	225.50	294.26	14.29	474.62	
17	1	8	0	59	42.54	228.58	296.37	890.53	462.53	
18	1	1	0	60	62.68	233.28	301.23	77.83	459.70	
19	1	1	0	61	73.89	237.17	303.66	10.47	450.90	
20	1	8	0	62	42.04	238.47	303.34	786.40	442.57	
21	1	5	1	39	18.66	229.23	294.26	1016.09	431.70	
22	1	5	1	40	0.02	162.74	286.96	1016.03	431.54	
23	1	1	1	41	73.95	226.47	292.96	13.04	451.28	
24	1	8	1	42	52.68	221.28	289.72	360.25	472.49	
25	1	1	1	43	68.18	218.68	288.42	20.48	516.51	
26	1	8	1	44	52.19	217.23	288.42	301.18	555.18	
27	1	8	1	45	56.69	216.58	287.12	187.69	568.42	
28	1	1	1	46	73.01	216.41	287.93	18.12	574.66	
29	1	1	1	47	68.78	216.58	288.10	27.63	566.73	
30	1	1	1	48	72.89	216.58	287.93	18.34	560.81	
31	1	1	1	49	72.84	216.74	287.28	18.11	554.80	
32	1	1	1	50	70.94	217.06	287.12	20.80	541.33	
33	1	5	1	51	0.02	177.49	283.07	1016.03	538.02	
34	1	1	1	52	60.82	217.55	287.45	61.53	538.65	
35	1	1	1	53	71.27	217.87	288.10	22.21	543.83	
36	1	1	1	54	72.83	218.04	288.42	18.23	556.77	
37	1	8	1	55	59.70	218.36	290.04	124.58	577.45	
38	1	1	1	56	71.49	218.52	291.01	20.07	597.40	
39	1	8	1	57	55.62	218.04	291.66	243.08	601.07	
40	1	10	1	58	73.06	218.36	291.99	18.03	607.84	
41	1	8	1	59	47.22	218.68	293.28	385.49	619.82	
42	1	10	1	60	73.04	218.20	293.61	18.02	623.59	
43	1	10	1	61	73.00	218.52	292.80	17.96	632.43	
44	1	10	1	62	61.59	219.17	293.45	82.34	608.89	
45	1	1	1	63	73.11	221.12	291.34	17.00	544.22	
46	1	1	1	64	73.45	225.50	295.88	14.61	491.72	
47	1	1	1	65	73.90	233.77	303.50	11.47	475.42	
48	1	1	1	66	69.68	235.88	303.66	21.87	451.18	
49	1	8	2	36	49.04	226.31	289.55	221.44	427.30	
50	1	5	2	37	0.02	178.79	287.12	1016.03	438.01	
51	1	1	2	38	73.07	220.96	290.85	15.26	473.78	
52	1	1	2	39	73.29	217.39	290.20	17.48	554.92	
53	1	10	2	40	72.52	216.41	293.61	18.42	657.65	
54	1	10	2	41	72.60	215.28	293.45	18.58	670.00	
55	1	10	2	42	72.84	216.09	294.58	18.63	675.20	
56	1	10	2	43	72.97	216.58	294.42	18.53	675.15	
57	1	10	2	44	69.77	216.74	292.80	27.40	666.82	
58	1	5	2	45	0.02	175.06	287.61	1016.04	655.91	
59	1	10	2	46	72.91	217.23	293.93	18.22	649.19	
60	1	10	2	47	72.92	217.06	292.15	18.10	625.18	
61	1	10	2	48	72.81	216.58	290.20	18.29	614.95	
62	1	1	2	49	72.55	217.39	288.42	18.08	592.47	
63	1	1	2	50	72.79	217.39	289.72	18.12	578.89	
64	1	1	2	51	72.57	218.04	288.91	17.89	571.62	
65	1	1	2	52	72.74	218.36	289.88	17.74	568.50	
66	1	1	2	53	72.36	218.04	289.72	18.40	570.61	
67	1	8	2	54	40.51	218.85	290.69	956.59	586.39	
68	1	10	2	55	72.98	219.82	292.47	17.59	606.39	
69	1	10	2	56	66.60	219.66	293.45	34.96	625.84	
70	1	10	2	57	73.00	219.82	295.23	17.60	657.26	
71	1	10	2	58	64.38	219.82	295.23	59.37	654.85	
72	1	8	2	59	62.03	219.33	298.64	102.27	690.47	
73	1	10	2	60	72.97	219.01	297.18	17.76	674.09	
74	1	10	2	61	72.78	219.33	297.83	18.32	686.30	
75	1	5	2	62	0.02	155.44	288.74	1016.04	673.93	
76	1	10	2	63	72.82	218.36	295.23	18.31	661.57	
77	1	10	2	64	72.77	218.04	292.64	18.30	617.30	
78	1	10	2	65	71.92	218.36	292.80	18.40	616.75	
79	1	1	2	66	69.84	217.55	289.55	20.60	586.46	
80	1	1	2	67	72.89	219.66	292.80	17.58	591.39	
81	1	1	2	68	73.16	222.58	293.28	15.77	497.46	
82	1	1	2	69	73.61	231.01	298.47	12.31	459.23	
83	1	5	3	33	27.07	226.31	290.20	1015.95	430.37	
84	1	5	3	34	19.57	222.58	288.42	1016.02	430.93	
85	1	1	3	35	68.12	219.01	289.07	22.77	470.72	
86	1	10	3	36	73.16	216.58	293.93	18.12	613.42	
87	1	5	3	37	0.02	160.46	289.23	1016.04	719.68	
88	1	10	3	38	73.00	216.09	300.74	19.16	731.01	
89	1	10	3	39	69.69	216.09	301.23	29.76	734.53	
90	1	10	3	40	72.98	216.74	300.42	18.92	733.77	
91	1	10	3	41	61.93	217.23	300.74	69.13	734.35	
92	1	10	3	42	72.95	217.71	301.72	18.69	735.80	
93	1	10	3	43	72.97	217.06	299.77	18.48	730.85	
94	1	10	3	44	70.79	217.87	298.80	19.03	724.63	
95	1	10	3	45	54.34	216.74	298.80	26.67	720.94	
96	1	10	3	46	72.86	217.87	297.01	18.37	702.65	
97	1	10	3	47	72.85	217.55	296.20	18.16	679.94	
98	1	10	3	48	72.80	217.71	292.96	18.11	651.01	
99	1	10	3	49	72.69	217.06	291.66	18.25	629.33	
100	1	10	3	50	72.74	217.23	291.18	18.09	613.89	
101	1	1	3	51	72.75	218.36	290.85	17.89	595.18	
102	1	5	3	52	0.03	182.20	285.82	1016.03	590.24	
103	1	1	3	53	72.72	218.04	290.85	17.97	593.34	
104	1	10	3	54	72.76	218.04	291.50	18.02	607.03	
105	1	10	3	55	72.88	218.68	292.15	17.75	620.40	
106	1	10	3	56	72.86	219.33	295.23	17.56	650.58	
107	1	10	3	57	67.93	219.66	296.69	26.87	671.83	
108	1	5	3	58	0.03	183.01	294.42	1016.03	700.07	
109	1	10	3	59	72.93	221.12	309.18	17.61	749.39	
110	1	10	3	60	71.28	220.31	300.74	20.91	721.02	
111	1	10	3	61	72.87	219.98	300.26	17.57	704.43	
112	1	8	3	62	59.07	219.33	299.61	128.97	711.98	
113	1	10	3	63	72.72	219.01	298.31	18.19	694.16	
114	1	10	3	64	72.66	218.68	294.10	18.27	645.41	
115	1	5	3	65	38.70	218.85	293.28	1015.99	630.37	
