Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	506
Pass #: 	8115
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
Max	4	16	0	0	80.00	600.00	600.00	100.00	600.00	
Min	1	1	0	0	40.00	100.00	100.00	0.00	100.00	
1	1	5	0	43	6.49	209.28	273.50	1016.21	405.74	
2	1	8	0	44	50.34	209.44	273.66	600.67	403.16	
3	1	1	0	45	65.00	205.55	268.31	30.06	395.12	
4	1	1	0	46	64.05	206.68	268.80	30.33	393.74	
5	1	1	0	47	63.34	207.17	270.09	30.32	393.92	
6	1	1	0	48	62.81	207.66	269.93	30.72	394.31	
7	1	1	0	49	62.55	207.98	270.90	30.84	394.20	
8	1	1	0	50	62.48	208.31	271.07	30.88	393.95	
9	1	1	0	51	60.24	207.66	270.74	70.77	393.87	
10	1	1	0	52	62.45	208.63	271.55	30.47	393.61	
11	1	1	0	53	62.48	208.14	271.39	30.72	392.59	
12	1	1	0	54	62.39	208.31	270.90	30.67	391.50	
13	1	1	0	55	62.37	208.47	270.58	30.60	391.76	
14	1	1	0	56	62.26	208.95	270.90	30.97	391.81	
15	1	1	0	57	62.19	208.47	270.58	31.02	392.12	
16	1	1	0	58	62.27	208.14	270.90	30.88	392.30	
17	1	1	0	59	62.61	207.82	270.58	30.52	392.48	
18	1	1	0	60	63.31	207.01	270.26	29.85	392.26	
19	1	1	0	61	64.10	207.01	269.93	29.62	392.98	
20	1	1	0	62	65.48	207.66	270.74	27.00	398.01	
21	1	5	1	39	7.45	209.60	273.34	1016.14	404.20	
22	1	1	1	40	65.70	206.85	269.45	28.96	396.52	
23	1	1	1	41	63.64	205.06	268.47	32.08	393.21	
24	1	1	1	42	62.72	207.33	269.77	31.04	394.13	
25	1	1	1	43	62.40	207.98	270.58	31.08	394.54	
26	1	1	1	44	62.61	207.98	271.23	30.40	394.73	
27	1	1	1	45	62.75	208.95	271.39	29.86	394.85	
28	1	1	1	46	62.92	208.95	270.58	29.38	394.20	
29	1	8	1	47	48.52	208.95	271.07	398.71	393.43	
30	1	1	1	48	63.00	208.47	271.72	28.97	394.12	
31	1	1	1	49	63.01	208.79	272.04	28.89	393.71	
32	1	1	1	50	62.54	208.63	271.72	29.92	392.57	
33	1	1	1	51	62.64	208.95	272.20	30.84	393.87	
34	1	1	1	52	62.84	209.28	272.36	28.92	394.62	
35	1	1	1	53	62.77	209.44	271.55	29.08	394.07	
36	1	1	1	54	62.68	208.79	272.04	29.30	393.03	
37	1	1	1	55	62.58	208.95	272.20	29.36	393.17	
38	1	1	1	56	61.79	209.77	271.88	30.15	393.03	
39	1	1	1	57	62.27	209.93	271.55	30.10	393.12	
40	1	1	1	58	62.08	209.12	272.36	30.59	393.03	
41	1	1	1	59	62.04	209.12	271.55	30.85	393.34	
42	1	1	1	60	61.97	209.44	271.39	30.90	392.70	
43	1	1	1	61	61.94	208.79	271.72	31.07	394.29	
44	1	1	1	62	62.05	208.95	271.88	30.81	394.91	
45	1	1	1	63	62.18	208.14	271.88	30.69	394.99	
46	1	1	1	64	62.22	208.79	271.72	30.63	394.96	
47	1	1	1	65	62.90	208.63	271.07	29.82	394.65	
48	1	1	1	66	61.96	206.52	270.09	51.24	394.73	
49	1	5	2	36	9.73	207.82	272.04	1016.09	401.96	
50	1	1	2	37	64.90	205.22	267.99	30.34	393.27	
51	1	1	2	38	62.54	206.20	269.61	34.91	392.36	
52	1	1	2	39	62.38	207.33	270.58	31.24	393.11	
53	1	8	2	40	46.10	208.14	271.39	436.82	393.66	
54	1	1	2	41	62.96	207.49	271.23	29.50	393.71	
55	1	1	2	42	63.12	209.28	270.74	28.92	394.00	
56	1	1	2	43	63.29	208.95	271.39	28.36	394.60	
57	1	1	2	44	63.36	209.12	272.36	28.01	395.20	
58	1	1	2	45	63.35	209.77	272.36	27.82	395.04	
59	1	8	2	46	56.71	209.12	272.20	134.78	394.28	
60	1	1	2	47	63.34	210.09	272.20	27.88	394.42	
61	1	8	2	48	50.37	209.28	272.36	144.28	394.96	
62	1	1	2	49	63.22	209.93	273.01	27.82	395.11	
63	1	1	2	50	63.12	209.12	272.69	27.84	395.11	
64	1	1	2	51	63.11	210.25	272.69	27.79	395.79	
65	1	1	2	52	63.03	209.44	273.01	27.96	396.01	
66	1	1	2	53	62.90	209.28	272.53	28.26	395.41	
67	1	1	2	54	62.79	210.25	272.69	28.43	394.07	
68	1	1	2	55	62.63	209.60	272.36	28.65	394.47	
69	1	1	2	56	62.41	210.25	272.53	29.24	394.41	
70	1	1	2	57	62.27	209.60	272.53	29.58	393.95	
71	1	1	2	58	62.03	209.77	272.53	30.26	394.28	
72	1	1	2	59	61.90	209.77	272.04	30.51	394.39	
73	1	1	2	60	61.76	209.93	272.36	30.88	394.57	
74	1	1	2	61	61.66	209.60	272.20	31.26	394.88	
75	1	1	2	62	61.69	209.60	273.50	31.24	394.86	
76	1	1	2	63	61.82	209.28	272.04	31.09	395.37	
77	1	1	2	64	61.77	209.60	272.04	31.29	395.43	
78	1	1	2	65	61.77	208.63	272.20	31.39	395.46	
79	1	1	2	66	61.87	209.28	271.88	31.21	395.61	
80	1	1	2	67	62.04	209.28	272.20	30.85	396.16	
81	1	1	2	68	62.37	208.47	272.20	30.24	396.57	
82	1	1	2	69	63.62	207.33	271.07	28.68	396.19	
83	1	5	3	33	7.26	209.44	275.93	1016.12	411.75	
84	1	8	3	34	48.18	207.17	269.45	207.30	397.80	
85	1	1	3	35	63.42	206.20	269.77	30.70	393.25	
86	1	1	3	36	62.65	207.66	269.61	31.07	392.93	
87	1	1	3	37	62.84	207.49	270.58	30.18	393.09	
88	1	1	3	38	63.09	208.95	271.23	29.25	393.47	
89	1	1	3	39	63.24	208.47	271.88	28.88	393.58	
90	1	1	3	40	63.44	209.44	271.72	28.01	394.08	
91	1	1	3	41	63.62	209.44	271.72	27.41	394.24	
92	1	1	3	42	63.65	209.77	272.04	27.28	394.52	
93	1	1	3	43	63.65	209.77	272.69	26.93	395.14	
94	1	1	3	44	63.67	209.93	273.18	26.84	396.03	
95	1	1	3	45	63.60	210.58	273.01	26.83	396.01	
96	1	1	3	46	63.55	210.09	272.53	26.83	395.80	
97	1	1	3	47	63.46	210.90	273.99	26.87	396.13	
98	1	1	3	48	63.40	210.09	273.18	26.95	395.67	
99	1	1	3	49	63.32	211.39	273.82	27.03	396.18	
100	1	1	3	50	63.17	210.09	273.66	27.20	396.75	
101	1	1	3	51	61.61	211.22	273.50	35.09	396.89	
102	1	1	3	52	63.14	211.06	273.66	27.31	396.73	
103	1	1	3	53	62.99	210.90	273.50	27.69	396.60	
104	1	1	3	54	62.81	210.25	273.82	28.07	395.88	
105	1	1	3	55	62.44	209.93	273.82	29.02	396.13	
106	1	1	3	56	62.47	210.90	273.99	28.77	395.93	
107	1	1	3	57	62.25	210.09	273.50	29.18	395.51	
108	1	1	3	58	60.60	210.74	273.34	31.55	395.80	
109	1	1	3	59	61.87	210.25	273.34	30.26	395.77	
110	1	1	3	60	61.77	210.41	273.18	30.62	395.20	
111	1	1	3	61	61.62	210.09	272.85	30.99	395.20	
112	1	1	3	62	61.56	209.93	273.01	31.20	395.01	
113	1	1	3	63	61.52	210.58	272.69	31.58	394.78	
114	1	1	3	64	61.48	209.28	272.20	31.62	394.88	
115	1	1	3	65	61.49	209.93	272.53	31.78	394.60	
