Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	588
Pass #: 	8033
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
97	1	1	3	47	64.17	211.87	275.61	40.30	399.28	
98	1	1	3	48	65.40	212.20	274.47	25.91	399.62	
99	1	1	3	49	66.81	211.71	274.47	22.88	399.98	
100	1	1	3	50	66.76	212.36	274.63	22.95	399.59	
101	1	5	3	51	0.02	159.01	271.07	1016.03	397.91	
102	1	1	3	52	66.44	211.87	275.28	23.54	398.97	
103	1	1	3	53	66.57	211.71	275.12	22.98	398.17	
104	1	1	3	54	66.47	211.22	274.63	23.05	397.78	
105	1	1	3	55	66.41	212.20	275.45	23.16	397.46	
106	1	1	3	56	61.03	212.36	275.12	49.63	397.70	
107	1	1	3	57	66.26	212.20	275.12	23.24	398.50	
108	1	1	3	58	66.12	211.55	275.61	23.53	398.84	
109	1	1	3	59	66.03	212.04	274.47	23.61	398.74	
110	1	1	3	60	65.91	211.39	274.96	23.75	398.92	
111	1	1	3	61	65.65	211.87	274.31	23.99	399.20	
112	1	1	3	62	65.70	211.87	275.61	24.09	398.97	
113	1	1	3	63	65.66	211.87	275.28	23.98	399.15	
114	1	1	3	64	64.84	211.87	275.28	27.60	399.94	
115	1	1	3	65	65.53	211.71	275.77	24.18	400.14	
116	1	1	3	66	65.53	211.55	274.47	24.34	400.27	
117	1	1	3	67	65.52	211.71	274.96	24.34	400.67	
118	1	1	3	68	65.49	211.71	275.12	24.25	400.74	
119	1	1	3	69	65.49	212.36	274.31	24.35	400.25	
120	1	1	3	70	65.52	211.55	274.63	24.40	400.77	
121	1	1	3	71	65.40	211.71	275.28	24.49	401.36	
122	1	5	4	31	13.34	211.39	275.12	1016.10	408.50	
123	1	5	4	32	23.20	210.25	273.82	1016.01	402.96	
124	1	1	4	33	70.07	211.39	274.96	20.52	404.20	
125	1	1	4	34	71.24	211.39	274.63	20.63	403.63	
126	1	1	4	35	70.37	211.71	274.80	21.05	402.62	
127	1	1	4	36	69.76	210.74	275.12	21.30	401.26	
128	1	1	4	37	69.30	210.74	274.96	21.51	400.17	
129	1	1	4	38	68.89	211.55	275.12	21.76	399.75	
130	1	1	4	39	68.64	211.06	274.31	21.84	399.37	
131	1	1	4	40	68.33	211.22	274.96	21.95	399.42	
132	1	1	4	41	68.08	210.90	274.47	22.06	399.68	
133	1	1	4	42	67.84	212.20	274.31	22.34	399.62	
134	1	1	4	43	67.57	211.87	274.47	22.41	399.57	
135	1	1	4	44	67.42	211.39	274.63	22.54	400.06	
136	1	1	4	45	67.25	212.20	275.12	22.57	399.93	
137	1	1	4	46	67.06	212.20	274.15	22.69	399.73	
138	1	1	4	47	66.94	211.71	275.28	22.89	399.23	
139	1	1	4	48	66.83	211.71	274.96	22.90	399.47	
140	1	1	4	49	66.74	211.55	274.96	22.94	399.50	
141	1	1	4	50	66.65	210.90	274.96	23.02	399.12	
142	1	1	4	51	66.17	211.39	275.61	23.15	398.50	
143	1	1	4	52	66.51	212.52	274.80	23.01	398.42	
144	1	1	4	53	66.46	211.71	274.63	23.06	397.85	
145	1	1	4	54	66.36	211.87	275.61	23.18	397.74	
146	1	1	4	55	66.21	211.71	274.96	23.35	397.78	
147	1	1	4	56	66.06	211.71	274.80	23.45	397.77	
148	1	1	4	57	65.95	211.39	275.45	23.65	398.34	
149	1	1	4	58	64.09	211.87	274.96	33.05	399.12	
150	1	1	4	59	65.70	211.39	274.80	23.84	399.34	
151	1	1	4	60	65.66	210.90	275.12	23.99	399.47	
152	1	1	4	61	65.62	211.87	274.80	23.97	399.13	
153	1	1	4	62	65.57	211.71	274.31	24.12	398.58	
154	1	1	4	63	65.49	212.68	274.96	24.04	398.48	
155	1	1	4	64	63.07	211.71	274.80	55.12	398.99	
156	1	1	4	65	65.66	211.87	275.28	24.02	398.77	
157	1	1	4	66	47.92	211.71	275.45	23.84	399.02	
158	1	1	4	67	65.72	211.55	274.31	23.84	399.88	
159	1	1	4	68	65.81	212.04	275.12	23.71	399.91	
160	1	1	4	69	65.86	211.87	275.28	23.71	399.52	
161	1	1	4	70	65.92	212.20	274.96	23.76	399.31	
162	1	1	4	71	65.69	211.87	275.61	23.92	399.18	
163	1	1	4	72	65.96	211.22	274.80	23.68	399.47	
164	1	1	4	73	65.87	211.87	275.12	23.87	400.11	
165	1	1	4	74	65.98	211.22	274.31	24.11	400.46	
166	1	5	5	29	13.95	210.58	274.15	1016.11	407.80	
167	1	1	5	30	65.59	209.93	274.47	37.44	403.60	
168	1	1	5	31	71.20	210.74	274.47	20.36	403.22	
169	1	5	5	32	0.03	168.57	270.42	1016.03	401.76	
170	1	1	5	33	70.83	210.90	274.15	20.87	402.75	
171	1	1	5	34	70.08	210.90	274.63	21.18	401.99	
172	1	1	5	35	69.45	211.71	275.45	21.43	401.18	
173	1	1	5	36	69.04	211.55	274.31	21.73	400.12	
174	1	1	5	37	68.79	211.22	274.80	21.83	399.80	
175	1	1	5	38	68.52	211.22	274.47	21.86	398.79	
176	1	1	5	39	68.29	211.39	275.28	22.06	398.38	
177	1	1	5	40	68.01	211.55	274.47	22.17	399.03	
178	1	1	5	41	67.77	211.22	275.12	22.32	399.21	
179	1	1	5	42	67.56	212.04	274.63	22.36	399.39	
180	1	1	5	43	67.43	211.87	274.47	22.58	398.92	
181	1	1	5	44	67.26	212.36	275.45	22.58	399.13	
182	1	1	5	45	66.00	211.87	275.45	29.87	399.25	
183	1	1	5	46	63.43	212.52	274.47	62.25	399.05	
184	1	1	5	47	66.83	212.04	274.63	22.94	398.17	
185	1	1	5	48	66.72	212.20	274.96	22.85	398.22	
186	1	1	5	49	66.63	212.04	275.28	22.97	398.47	
187	1	1	5	50	66.45	211.71	275.12	23.19	398.16	
188	1	1	5	51	66.43	211.39	275.12	23.16	397.87	
189	1	1	5	52	66.28	211.71	275.45	23.30	398.00	
190	1	1	5	53	66.15	212.04	274.96	23.29	398.35	
191	1	1	5	54	66.09	211.55	275.28	23.43	397.85	
192	1	1	5	55	65.89	212.36	275.12	23.54	397.91	
193	1	1	5	56	65.79	212.04	274.80	23.69	397.98	
194	1	1	5	57	65.67	211.39	274.31	23.85	398.12	
195	1	1	5	58	65.62	211.71	274.63	23.90	398.73	
196	1	1	5	59	65.53	212.36	274.63	24.01	399.13	
197	1	1	5	60	65.49	211.71	275.61	24.03	399.54	
198	1	1	5	61	65.53	212.36	275.28	24.03	399.36	
199	1	1	5	62	65.53	211.87	275.28	24.09	398.86	
200	1	1	5	63	65.52	211.55	274.80	24.01	398.27	
201	1	1	5	64	65.62	211.22	275.12	23.90	398.25	
202	1	1	5	65	65.78	211.22	275.28	23.75	397.69	
203	1	1	5	66	65.82	211.87	274.96	23.76	397.93	
204	1	1	5	67	65.96	212.20	275.28	23.53	398.87	
205	1	1	5	68	66.06	211.71	275.45	23.37	399.25	
206	1	1	5	69	66.19	211.87	275.28	23.21	399.13	
207	1	1	5	70	66.28	211.39	274.80	23.17	399.12	
208	1	1	5	71	66.03	212.68	274.80	23.73	398.29	
209	1	1	5	72	66.26	212.04	275.28	23.11	398.08	
210	1	8	5	73	55.91	212.04	274.80	175.45	398.09	
211	1	1	5	74	66.14	211.87	274.63	23.39	398.43	
212	1	1	5	75	65.96	211.87	275.45	23.65	400.06	
213	1	1	5	76	65.87	211.39	274.63	24.00	401.63	
