Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	1299
Pass #: 	7322
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
Max	4	16	0	0	80.00	600.00	600.00	100.00	600.00	
Min	1	1	0	0	40.00	100.00	100.00	0.00	100.00	
1	1	5	0	43	26.31	114.41	184.79	1016.04	369.39	
2	1	8	0	44	55.61	158.68	239.12	299.78	404.99	
3	1	1	0	45	71.42	213.17	277.55	20.54	411.31	
4	1	1	0	46	69.86	211.22	274.15	23.79	406.88	
5	1	8	0	47	48.53	208.31	272.53	380.12	401.49	
6	1	5	0	48	0.02	165.33	269.45	1016.04	400.54	
7	1	8	0	49	53.65	211.06	273.99	159.75	401.18	
8	1	5	0	50	0.02	163.87	269.77	1016.03	399.93	
9	1	1	0	51	68.69	211.06	273.82	21.81	401.16	
10	1	5	0	52	0.02	161.60	269.61	1016.03	400.58	
11	1	5	0	53	0.02	169.22	269.77	1016.03	400.24	
12	1	1	0	54	65.92	210.58	274.47	26.15	400.07	
13	1	5	0	55	0.02	163.22	269.93	1016.04	398.56	
14	1	5	0	56	0.02	166.14	269.61	1016.04	399.03	
15	1	1	0	57	70.84	211.06	274.15	21.18	399.70	
16	1	1	0	58	70.08	210.58	273.18	21.86	399.63	
17	1	1	0	59	71.12	209.60	272.36	22.20	399.25	
18	1	8	0	60	48.21	209.44	273.18	406.68	400.67	
19	1	5	0	61	0.02	158.36	271.07	1016.03	406.58	
20	1	1	0	62	70.50	213.66	278.04	21.62	411.63	
21	1	5	1	39	28.32	118.95	190.47	1016.13	374.88	
22	1	1	1	40	70.27	211.39	276.42	30.81	411.47	
23	1	8	1	41	52.82	209.44	273.99	207.61	403.86	
24	1	5	1	42	0.02	153.00	267.99	1016.03	400.41	
25	1	1	1	43	70.83	210.41	274.31	20.63	402.25	
26	1	1	1	44	70.38	211.39	274.47	20.18	402.88	
27	1	1	1	45	70.26	212.20	275.28	20.12	402.59	
28	1	1	1	46	70.17	211.87	274.63	20.13	402.13	
29	1	5	1	47	0.02	169.71	270.90	1016.03	400.25	
30	1	1	1	48	69.97	211.87	275.61	20.26	400.61	
31	1	1	1	49	63.58	212.36	275.45	47.20	400.40	
32	1	5	1	50	0.02	165.01	271.07	1016.04	398.12	
33	1	1	1	51	69.34	211.55	275.28	20.51	399.72	
34	1	1	1	52	69.56	211.55	274.80	20.41	400.63	
35	1	1	1	53	69.49	212.68	275.12	20.53	399.85	
36	1	5	1	54	0.02	164.36	270.58	1016.04	397.62	
37	1	5	1	55	0.02	158.52	271.07	1016.03	397.38	
38	1	1	1	56	69.37	212.20	274.63	20.59	398.95	
39	1	1	1	57	69.38	212.04	275.61	20.48	399.33	
40	1	8	1	58	45.73	211.71	274.47	588.43	399.08	
41	1	1	1	59	69.48	212.04	274.47	20.55	398.48	
42	1	1	1	60	69.50	211.87	274.63	20.58	397.77	
43	1	1	1	61	68.98	212.36	274.96	21.03	398.79	
44	1	1	1	62	69.76	211.71	274.80	20.41	399.96	
45	1	1	1	63	70.10	212.04	274.47	20.60	399.34	
46	1	1	1	64	70.72	210.25	273.99	21.30	399.36	
47	1	8	1	65	52.74	209.12	273.34	197.99	398.82	
48	1	5	1	66	0.02	166.63	272.04	1016.03	405.71	
49	1	5	2	36	37.55	131.11	204.74	1016.03	387.96	
50	1	1	2	37	69.46	211.22	274.96	27.24	406.45	
51	1	1	2	38	70.85	208.95	272.36	24.58	399.70	
52	1	8	2	39	54.09	210.74	274.15	189.65	400.56	
53	1	1	2	40	67.06	211.71	274.96	20.40	400.75	
54	1	5	2	41	0.02	170.20	271.55	1016.03	399.42	
55	1	5	2	42	0.02	161.76	270.09	1016.03	399.85	
56	1	1	2	43	70.04	212.36	274.96	20.27	401.50	
57	1	1	2	44	69.95	213.17	274.80	20.25	401.47	
58	1	1	2	45	66.14	212.52	275.28	21.24	401.05	
59	1	5	2	46	0.02	167.76	270.42	1016.03	399.83	
60	1	1	2	47	69.77	211.87	274.80	20.37	399.52	
61	1	1	2	48	69.65	211.87	273.66	20.42	399.20	
62	1	1	2	49	68.27	210.90	274.63	20.94	399.12	
63	1	5	2	50	0.02	171.65	270.90	1016.03	398.12	
64	1	1	2	51	69.29	212.68	275.12	20.62	399.33	
65	1	1	2	52	69.18	211.87	274.96	20.66	399.31	
66	1	1	2	53	69.13	212.04	274.80	20.64	398.37	
67	1	5	2	54	0.02	157.55	269.61	1016.03	396.45	
68	1	1	2	55	69.02	211.87	274.80	20.76	397.07	
69	1	8	2	56	54.36	212.04	274.31	147.42	397.44	
70	1	1	2	57	69.02	212.85	274.63	20.87	397.56	
71	1	1	2	58	68.99	212.20	274.96	20.80	397.72	
72	1	1	2	59	68.99	212.04	275.28	20.91	398.00	
73	1	8	2	60	49.86	212.20	274.63	383.85	397.74	
74	1	1	2	61	69.00	211.71	274.96	20.79	398.29	
75	1	1	2	62	69.03	211.87	274.47	20.85	398.68	
76	1	1	2	63	68.67	212.52	275.45	21.21	398.74	
77	1	8	2	64	52.58	212.04	275.28	509.07	399.28	
78	1	5	2	65	0.02	171.98	271.07	1016.03	398.35	
79	1	1	2	66	69.47	212.68	275.12	20.51	400.02	
80	1	1	2	67	69.79	212.36	275.12	20.52	400.79	
81	1	1	2	68	70.40	210.58	274.15	21.50	400.30	
82	1	1	2	69	71.23	209.60	273.50	22.19	401.89	
83	1	5	3	33	21.52	109.22	179.60	1016.03	366.97	
84	1	5	3	34	0.02	167.11	272.69	1016.03	410.25	
85	1	5	3	35	0.02	169.71	269.28	1016.04	399.70	
86	1	1	3	36	69.61	210.90	274.31	23.38	400.09	
87	1	1	3	37	65.56	211.71	274.47	23.75	399.78	
88	1	8	3	38	49.86	212.20	275.12	312.50	399.83	
89	1	1	3	39	69.96	212.85	274.63	20.51	399.47	
90	1	8	3	40	49.37	211.39	274.96	381.52	399.21	
91	1	1	3	41	69.72	211.71	274.31	20.54	399.10	
92	1	1	3	42	69.03	211.55	274.96	20.80	399.72	
93	1	1	3	43	68.10	211.71	275.45	21.40	399.68	
94	1	1	3	44	69.60	211.71	274.63	20.43	400.20	
95	1	1	3	45	69.61	212.36	275.28	20.52	399.93	
96	1	1	3	46	65.72	211.87	274.31	39.18	399.49	
97	1	1	3	47	66.80	211.71	275.28	31.03	399.31	
98	1	1	3	48	68.97	212.20	275.45	20.70	399.34	
99	1	1	3	49	69.09	212.36	274.47	20.77	399.23	
100	1	1	3	50	68.99	211.71	274.80	20.80	399.13	
101	1	1	3	51	68.91	211.55	274.96	20.88	398.22	
102	1	1	3	52	66.76	212.04	275.12	22.41	398.21	
103	1	5	3	53	0.02	169.87	270.58	1016.04	396.89	
104	1	5	3	54	0.02	167.28	271.23	1016.03	396.57	
105	1	1	3	55	66.56	211.22	274.96	36.95	397.93	
106	1	1	3	56	68.71	212.04	275.28	20.97	397.75	
107	1	5	3	57	0.02	168.57	271.23	1016.03	397.13	
108	1	1	3	58	63.03	212.20	275.12	70.37	397.95	
109	1	5	3	59	0.02	153.00	270.09	1016.04	396.75	
110	1	1	3	60	68.68	212.36	275.12	21.04	397.28	
111	1	1	3	61	68.70	212.20	274.80	21.12	397.43	
112	1	8	3	62	58.72	212.36	274.63	124.70	397.26	
113	1	1	3	63	68.74	211.39	274.47	21.02	397.44	
114	1	1	3	64	68.71	212.04	275.45	20.98	398.55	
115	1	8	3	65	51.73	211.71	274.96	240.52	398.66	
